Skill,Level,SFIA_Skill_Level,Level_Description,Level_Description_cosine,Level_Description_jaccard,skills_skillner,skills_skillner_qe,skills_skillner_keybert,skills_skillner_qe_keybert,rake_skills,yake_skills,skills_skillner_rake,skills_skillner_yake,skills_skillner_count,skills_skillner_qe_count,skills_skillner_keybert_count,skills_skillner_qe_keybert_count,skills_skillner_rake_count,skills_skillner_yake_count
Governance,6,Governance 6,"Implements the governance framework to enable governance activity to be conducted. _x000D_
Within a defined area of accountability, determines the requirements for appropriate governance reflecting the organisation's values, ethics, risk appetite and wider governance frameworks. Communicates delegated authority, benefits, opportunities, costs and risks. _x000D_
Leads reviews of governance practices with appropriate and sufficient independence from management activity. _x000D_
Acts as the organisation's contact for relevant regulatory authorities and ensures proper relationships between the organisation and external stakeholders.",implements governance framework enable governance activity conducted _xd_ within defined area accountability determines requirements appropriate governance reflecting organisations values ethics risk appetite wider governance frameworks communicates delegated authority benefits opportunities costs risks _xd_ leads reviews governance practices appropriate sufficient independence management activity _xd_ acts organisations contact relevant regulatory authorities ensures proper relationships organisation external stakeholders,"implements the governance framework to enable governance activity to be conducted. xd within a defined area of accountability, determines the requirements for appropriate governance reflecting the organisation's values, ethics, risk appetite and wider governance frameworks. communicates delegated authority, benefits, opportunities, costs and risks. xd leads reviews of governance practices with appropriate and sufficient independence from management activity. xd acts as the organisation's contact for relevant regulatory authorities and ensures proper relationships between the organisation and external stakeholders.","['activity', 'risk appetite', 'reflecting', 'management activity', 'communicates', 'accountability', 'governance', 'xd', 'acts', 'delegate authority']","['activity', 'meditate', 'do', 'ruminate', 'roleplay', 'routine', 'action', 'management activity', 'acts of the apostles', 'answerableness', 'deed', 'act as', 'turn', 'act', 'work', 'speculate', 'bodily process', 'governance', 'reflecting', 'acts', 'pass on', 'government', 'organisation', 'mull over', 'chew over', 'natural action', 'contemplate', 'mull', 'play', 'risk appetite', 'reflect', 'number', 'behave', 'communicates', 'put across', 'human action', 'excogitate', 'brass', 'playact', 'represent', 'shine', 'pretend', 'government activity', 'pass', 'bodily function', 'enactment', 'pass along', 'administration', 'activeness', 'organization', 'convey', 'accountability', 'governing body', 'bit', 'body process', 'ponder', 'intercommunicate', 'dissemble', 'reverberate', 'human activity', 'think over', 'establishment', 'commune', 'governing', 'move', 'transmit', 'answerability', 'muse', 'natural process', 'communicate', 'xd', 'delegate authority']","['accountability governance xd', 'activity communicates accountability', 'acts delegate authority', 'reflecting management activity', 'activity risk appetite']","['activity acts', 'pass government organisation', 'bodily process governance', 'meditate ruminate', 'apostles answerableness deed']","['relevant regulatory authorities', 'ensures proper relationships', 'communicates delegated authority', 'wider governance frameworks', 'xd leads reviews', 'enable governance activity', 'appropriate governance reflecting', 'governance practices', 'governance framework', 'management activity', 'xd within', 'xd acts', 'sufficient independence', 'risk appetite', 'external stakeholders', 'defined area', 'appropriate', 'values', 'risks', 'requirements', 'organisation', 'organisation', 'organisation', 'opportunities', 'implements', 'ethics', 'determines', 'costs', 'contact', 'conducted', 'benefits', 'accountability']","['enable governance activity', 'framework to enable', 'implements', 'conducted', 'ethics', 'organisation contact', 'risk', 'external stakeholders', 'sufficient', 'proper']","['activity', 'ethics', 'xd acts', 'governance practices', 'appropriate', 'contact', 'management activity', 'conducted', 'benefits', 'determines', 'governance', 'defined area', 'reflecting', 'acts', 'relevant regulatory authorities', 'organisation', 'communicates delegated authority', 'implements', 'risk appetite', 'communicates', 'values', 'external stakeholders', 'risks', 'ensures proper relationships', 'opportunities', 'enable governance activity', 'governance framework', 'wider governance frameworks', 'accountability', 'xd leads reviews', 'costs', 'sufficient independence', 'requirements', 'xd', 'xd within', 'delegate authority', 'appropriate governance reflecting']","['activity', 'ethics', 'proper', 'management activity', 'conducted', 'governance', 'reflecting', 'acts', 'sufficient', 'implements', 'risk appetite', 'communicates', 'framework to enable', 'organisation contact', 'external stakeholders', 'enable governance activity', 'risk', 'accountability', 'xd', 'delegate authority']",10,72,5,5,37,20
Governance,7,Governance 7,"Directs the definition, implementation and monitoring of the governance framework to meet organisational obligations under regulation, law, or contracts. _x000D_
Provides leadership, direction and oversight for governance activities.  Integrates risk management into frameworks, aligning with strategic objectives and risk appetite._x000D_
Secures resources required to execute activities to achieve the organisation’s governance goals with effective transparency. _x000D_
Provides assurance to stakeholders that the organisation can deliver its obligations with an agreed balance of benefits, opportunities, costs and risks.",directs definition implementation monitoring governance framework meet organisational obligations regulation law contracts _xd_ provides leadership direction oversight governance activities integrates risk management frameworks aligning strategic objectives risk appetite_xd_ secures resources required execute activities achieve organisations governance goals effective transparency _xd_ provides assurance stakeholders organisation deliver obligations agreed balance benefits opportunities costs risks,"directs the definition, implementation and monitoring of the governance framework to meet organisational obligations under regulation, law, or contracts. xd provides leadership, direction and oversight for governance activities. integrates risk management into frameworks, aligning with strategic objectives and risk appetite. xd secures resources required to execute activities to achieve the organisation s governance goals with effective transparency. xd provides assurance to stakeholders that the organisation can deliver its obligations with an agreed balance of benefits, opportunities, costs and risks.","['aligning strategic', 'activities', 'risk management', 'execute', 'leadership', 'law contracts', 'transparency', 'resources', 'integrates', 'risk management framework', 'governance', 'xd']","['activity', 'do', 'transparence', 'action', 'fulfil', 'perform', 'bodily process', 'governance', 'government', 'leaders', 'organisation', 'leading', 'natural action', 'transparentness', 'leadership', 'law contracts', 'integrates', 'resourcefulness', 'brass', 'carry out', 'government activity', 'bodily function', 'activities', 'carry through', 'accomplish', 'mix', 'resources', 'resource', 'administration', 'activeness', 'organization', 'risk management framework', 'governing body', 'body process', 'incorporate', 'run', 'aligning strategic', 'risk management', 'execute', 'establishment', 'governing', 'transparency', 'desegregate', 'put to death', 'imagination', 'integrate', 'foil', 'natural process', 'xd', 'fulfill']","['risk management execute', 'contracts transparency resources', 'governance xd', 'aligning strategic activities', 'leadership law']","['action transparentness leadership', 'transparence action fulfil', 'bodily function activities', 'carry government activity', 'process incorporate']","['xd secures resources required', 'xd provides leadership', 'xd provides assurance', 'integrates risk management', 'meet organisational obligations', 'risk appetite', 'strategic objectives', 'governance goals', 'governance framework', 'governance activities', 'execute activities', 'effective transparency', 'agreed balance', 'obligations', 'stakeholders', 'risks', 'regulation', 'oversight', 'organisation', 'organisation', 'opportunities', 'monitoring', 'law', 'implementation', 'frameworks', 'directs', 'direction', 'deliver', 'definition', 'costs', 'contracts', 'benefits', 'aligning', 'achieve']","['directs the definition', 'law', 'governance', 'framework to meet', 'obligations', 'risk', 'aligning with strategic', 'leadership', 'appetite', 'costs']","['definition', 'direction', 'regulation', 'governance goals', 'oversight', 'benefits', 'agreed balance', 'governance', 'monitoring', 'aligning', 'organisation', 'frameworks', 'xd secures resources required', 'risk appetite', 'leadership', 'law contracts', 'xd provides leadership', 'integrates', 'risks', 'opportunities', 'deliver', 'strategic objectives', 'meet organisational obligations', 'governance framework', 'contracts', 'activities', 'xd provides assurance', 'directs', 'resources', 'obligations', 'risk management framework', 'governance activities', 'aligning strategic', 'costs', 'stakeholders', 'risk management', 'execute', 'integrates risk management', 'transparency', 'effective transparency', 'execute activities', 'achieve', 'xd', 'implementation', 'law']","['governance', 'leadership', 'law contracts', 'integrates', 'framework to meet', 'activities', 'xd', 'resources', 'risk', 'obligations', 'risk management framework', 'aligning strategic', 'costs', 'directs the definition', 'risk management', 'execute', 'transparency', 'appetite', 'law', 'aligning with strategic']",12,50,5,5,45,20
Risk management,2,Risk management 2,"Assists in collecting and reporting data to support risk management activities under routine supervision. _x000D_
Helps create and maintain documentation of risks and risk management activities. _x000D_
Helps identify and report issues and discrepancies.",assists collecting reporting data support risk management activities routine supervision _xd_ helps create maintain documentation risks risk management activities _xd_ helps identify report issues discrepancies,assists in collecting and reporting data to support risk management activities under routine supervision. xd helps create and maintain documentation of risks and risk management activities. xd helps identify and report issues and discrepancies.,"['activities', 'risk management', 'xd', 'collecting', 'supervision', 'maintain']","['activity', 'action', 'pull together', 'oversight', 'observe', 'bodily process', 'collecting', 'take in', 'keep up', 'defend', 'gather', 'compile', 'natural action', 'wield', 'garner', 'hold', 'conserve', 'gather up', 'keep', 'maintain', 'pull in', 'bodily function', 'activities', 'hoard', 'asseverate', 'roll up', 'exert', 'call for', 'aggregation', 'activeness', 'sustain', 'superintendence', 'accumulate', 'body process', 'collect', 'assert', 'pick up', 'risk management', 'collection', 'amass', 'pile up', 'assembling', 'supervising', 'natural process', 'preserve', 'uphold', 'xd', 'supervision']","['activities risk management', 'xd collecting supervision', 'collecting supervision maintain', 'risk management xd', 'maintain']","['process collecting', 'uphold xd supervision', 'bodily function activities', 'maintain pull', 'activeness sustain superintendence']","['support risk management activities', 'risk management activities', 'xd helps identify', 'xd helps create', 'routine supervision', 'reporting data', 'report issues', 'maintain documentation', 'risks', 'discrepancies', 'collecting', 'assists']","['risk management activities', 'assists in collecting', 'reporting data', 'data to support', 'risk', 'identify', 'issues']","['maintain documentation', 'assists', 'activities', 'xd helps create', 'collecting', 'discrepancies', 'risk management', 'report issues', 'risk management activities', 'routine supervision', 'reporting data', 'risks', 'xd helps identify', 'xd', 'supervision', 'support risk management activities', 'maintain']","['activities', 'risk', 'assists in collecting', 'collecting', 'risk management', 'issues', 'risk management activities', 'data to support', 'reporting data', 'identify', 'xd', 'supervision', 'maintain']",6,48,5,5,17,13
Risk management,3,Risk management 3,"Undertakes basic risk management activities. _x000D_
Maintains documentation of risks, threats, vulnerabilities and mitigation actions.",undertakes basic risk management activities _xd_ maintains documentation risks threats vulnerabilities mitigation actions,"undertakes basic risk management activities. xd maintains documentation of risks, threats, vulnerabilities and mitigation actions.","['activities', 'risk management', 'mitigation', 'xd', 'vulnerabilities', 'maintains']","['activity', 'bodily function', 'activities', 'moderation', 'asseverate', 'vulnerability', 'action', 'exert', 'activeness', 'observe', 'sustain', 'bodily process', 'assert', 'mitigation', 'body process', 'vulnerabilities', 'palliation', 'exposure', 'maintains', 'keep up', 'hold', 'natural action', 'keep', 'defend', 'risk management', 'conserve', 'wield', 'natural process', 'preserve', 'uphold', 'xd', 'extenuation', 'maintain']","['xd vulnerabilities maintains', 'activities risk management', 'management mitigation xd', 'risk management mitigation', 'maintains']","['activity bodily function', 'activeness observe sustain', 'moderation asseverate vulnerability', 'uphold xd extenuation', 'palliation exposure maintains']","['undertakes basic risk management activities', 'xd maintains documentation', 'mitigation actions', 'vulnerabilities', 'threats', 'risks']","['undertakes basic risk', 'risk management activities', 'threats', 'maintains documentation', 'risk']","['activities', 'undertakes basic risk management activities', 'mitigation', 'vulnerabilities', 'maintains', 'threats', 'risk management', 'mitigation actions', 'xd maintains documentation', 'risks', 'xd']","['activities', 'risk', 'undertakes basic risk', 'mitigation', 'vulnerabilities', 'maintains', 'threats', 'risk management', 'risk management activities', 'xd', 'maintains documentation']",6,33,5,5,11,11
Risk management,4,Risk management 4,"Carries out risk management activities within a specific function, technical area or project of medium complexity. _x000D_
Identifies risks and vulnerabilities, assesses their impact and probability, develops mitigation strategies and reports to the business. _x000D_
Involves specialists and domain experts as necessary.",carries risk management activities within specific function technical area project medium complexity _xd_ identifies risks vulnerabilities assesses impact probability develops mitigation strategies reports business _xd_ involves specialists domain experts necessary,"carries out risk management activities within a specific function, technical area or project of medium complexity. xd identifies risks and vulnerabilities, assesses their impact and probability, develops mitigation strategies and reports to the business. xd involves specialists and domain experts as necessary.","['activities', 'risk management', 'vulnerabilities assesses', 'mitigation', 'assesses impact', 'specific function', 'reports business', 'probability', 'xd']","['activity', 'bodily function', 'activities', 'moderation', 'action', 'vulnerabilities assesses', 'activeness', 'reports business', 'bodily process', 'mitigation', 'body process', 'palliation', 'natural action', 'chance', 'risk management', 'assesses impact', 'specific function', 'natural process', 'probability', 'xd', 'extenuation']","['activities risk management', 'vulnerabilities assesses mitigation', 'business probability xd', 'impact specific', 'specific function reports']","['activity bodily function', 'moderation action vulnerabilities', 'assesses activeness reports', 'risk management assesses', 'process probability xd']","['risk management activities within', 'xd involves specialists', 'xd identifies risks', 'develops mitigation strategies', 'technical area', 'specific function', 'medium complexity', 'domain experts', 'vulnerabilities', 'reports', 'project', 'probability', 'necessary', 'impact', 'carries', 'business', 'assesses']","['risk management activities', 'specific function', 'medium complexity', 'area or project', 'risk', 'assesses']","['vulnerabilities assesses', 'necessary', 'xd involves specialists', 'business', 'impact', 'reports business', 'technical area', 'vulnerabilities', 'domain experts', 'xd identifies risks', 'risk management activities within', 'activities', 'assesses', 'medium complexity', 'develops mitigation strategies', 'mitigation', 'risk management', 'carries', 'assesses impact', 'specific function', 'project', 'probability', 'xd', 'reports']","['activities', 'assesses', 'risk management', 'risk management activities', 'xd', 'risk', 'vulnerabilities assesses', 'medium complexity', 'assesses impact', 'area or project', 'specific function', 'reports business', 'probability', 'mitigation']",9,21,5,5,24,14
Risk management,5,Risk management 5,"Plans and implements complex and substantial risk management activities within a specific function, technical area, project or programme. _x000D_
Establishes consistent risk management processes and reporting mechanisms aligned with governance frameworks._x000D_
Engages specialists and domain experts as necessary. _x000D_
Advises on the organisation's approach to risk management.",plans implements complex substantial risk management activities within specific function technical area project programme _xd_ establishes consistent risk management processes reporting mechanisms aligned governance frameworks_xd_ engages specialists domain experts necessary _xd_ advises organisations approach risk management,"plans and implements complex and substantial risk management activities within a specific function, technical area, project or programme. xd establishes consistent risk management processes and reporting mechanisms aligned with governance frameworks. xd engages specialists and domain experts as necessary. xd advises on the organisation's approach to risk management.","['activities', 'plans', 'risk management', 'management process', 'specific function', 'governance', 'xd', 'mechanisms', 'advises']","['activity', 'plans', 'send word', 'action', 'apprize', 'apprise', 'management process', 'architectural plan', 'bodily process', 'governance', 'propose', 'government', 'chemical mechanism', 'mechanisms', 'organisation', 'advises', 'notify', 'counsel', 'natural action', 'brass', 'mechanism', 'government activity', 'bodily function', 'activities', 'design', 'suggest', 'advise', 'program', 'administration', 'activeness', 'organization', 'governing body', 'body process', 'contrive', 'programme', 'risk management', 'establishment', 'governing', 'plan', 'give notice', 'mechanics', 'specific function', 'natural process', 'project', 'rede', 'xd', 'be after']","['function governance xd', 'activities plans risk', 'risk management', 'management management process', 'mechanisms advises']","['activities design', 'process contrive programme', 'government chemical mechanism', 'organisation advises', 'send word action']","['xd establishes consistent risk management processes', 'substantial risk management activities within', 'xd engages specialists', 'reporting mechanisms aligned', 'risk management', 'xd advises', 'technical area', 'specific function', 'implements complex', 'governance frameworks', 'domain experts', 'project', 'programme', 'plans', 'organisation', 'necessary', 'approach']","['technical area', 'project or programme', 'risk management activities', 'plans and implements', 'risk', 'function', 'frameworks', 'approach']","['plans', 'necessary', 'management process', 'technical area', 'governance', 'xd establishes consistent risk management processes', 'mechanisms', 'domain experts', 'advises', 'organisation', 'approach', 'implements complex', 'xd advises', 'activities', 'governance frameworks', 'reporting mechanisms aligned', 'substantial risk management activities within', 'risk management', 'xd engages specialists', 'programme', 'specific function', 'project', 'xd']","['function', 'activities', 'plans', 'risk management', 'plans and implements', 'risk management activities', 'risk', 'approach', 'technical area', 'management process', 'specific function', 'governance', 'project or programme', 'xd', 'mechanisms', 'advises', 'frameworks']",9,47,5,5,23,17
Risk management,6,Risk management 6,"Plans and manages the implementation of organisation-wide risk management processes, integrating tools and techniques aligned with governance frameworks._x000D_
Considers organisation-wide risk and mitigation activities within the context of business risk as a whole and the organisation’s appetite for risk._x000D_
Provides leadership on risk management, ensuring practices support strategic decision-making and compliance with organisational policies.",plans manages implementation organisationwide risk management processes integrating tools techniques aligned governance frameworks_xd_ considers organisationwide risk mitigation activities within context business risk whole organisations appetite risk_xd_ provides leadership risk management ensuring practices support strategic decisionmaking compliance organisational policies,"plans and manages the implementation of organisation wide risk management processes, integrating tools and techniques aligned with governance frameworks. xd considers organisation wide risk and mitigation activities within the context of business risk as a whole and the organisation s appetite for risk. xd provides leadership on risk management, ensuring practices support strategic decision making and compliance with organisational policies.","['tools', 'risk mitigation', 'plans', 'risk management', 'manages', 'activities', 'leadership', 'integrating', 'organisational policy', 'management process', 'business risk', 'governance']","['do', 'plans', 'puppet', 'care', 'oversee', 'shaft', 'bodily process', 'governance', 'joyride', 'get by', 'government', 'dick', 'integration', 'handle', 'contend', 'brass', 'putz', 'government activity', 'bodily function', 'activities', 'manages', 'peter', 'tool around', 'supervise', 'activeness', 'organisational policy', 'business risk', 'superintend', 'prick', 'programme', 'negociate', 'governing', 'tool', 'integrate', 'project', 'bring off', 'natural process', 'cock', 'tools', 'creature', 'risk mitigation', 'activity', 'action', 'integrating', 'pull off', 'management process', 'architectural plan', 'leaders', 'organisation', 'leading', 'deal', 'natural action', 'leadership', 'wield', 'desegregation', 'design', 'instrument', 'grapple', 'wangle', 'mix', 'program', 'administration', 'make out', 'make do', 'organization', 'governing body', 'pecker', 'body process', 'incorporate', 'contrive', 'finagle', 'carry off', 'risk management', 'establishment', 'plan', 'desegregate', 'cope', 'be after', 'manage']","['risk management manages', 'business risk governance', 'tools risk mitigation', 'mitigation plans risk', 'activities leadership integrating']","['puppet care oversee', 'organisational policy business', 'action leadership wield', 'process cock tools', 'bodily function activities']","['ensuring practices support strategic decision making', 'xd considers organisation wide risk', 'organisation wide risk management processes', 'xd provides leadership', 'mitigation activities within', 'risk management', 'business risk', 'techniques aligned', 'organisational policies', 'integrating tools', 'governance frameworks', 'organisation', 'risk', 'whole', 'plans', 'manages', 'implementation', 'context', 'compliance', 'appetite']","['organisation wide risk', 'risk management processes', 'manages the implementation', 'tools and techniques', 'techniques aligned', 'risk', 'plans', 'ensuring practices support', 'support strategic', 'context', 'making']","['tools', 'risk mitigation', 'plans', 'integrating', 'management process', 'governance', 'techniques aligned', 'organisation', 'context', 'leadership', 'xd provides leadership', 'whole', 'ensuring practices support strategic decision making', 'xd considers organisation wide risk', 'activities', 'manages', 'organisational policies', 'risk', 'organisational policy', 'business risk', 'integrating tools', 'governance frameworks', 'mitigation activities within', 'compliance', 'risk management', 'appetite', 'implementation', 'organisation wide risk management processes']","['tools', 'risk mitigation', 'plans', 'integrating', 'management process', 'governance', 'techniques aligned', 'context', 'leadership', 'risk management processes', 'ensuring practices support', 'activities', 'manages', 'organisation wide risk', 'risk', 'organisational policy', 'business risk', 'tools and techniques', 'risk management', 'support strategic', 'manages the implementation', 'making']",12,79,5,5,28,22
Risk management,7,Risk management 7,"Establishes the organisation's risk management strategy, defining and communicating the risk appetite in alignment with governance and strategic objectives._x000D_
Defines and communicates the organisation's appetite for risk. _x000D_
Provides resources to implement the organisation's risk strategy. _x000D_
Delegates authority for detailed planning and execution of risk management activities across the organisation.",establishes organisations risk management strategy defining communicating risk appetite alignment governance strategic objectives_xd_ defines communicates organisations appetite risk _xd_ provides resources implement organisations risk strategy _xd_ delegates authority detailed planning execution risk management activities across organisation,"establishes the organisation's risk management strategy, defining and communicating the risk appetite in alignment with governance and strategic objectives. xd defines and communicates the organisation's appetite for risk. xd provides resources to implement the organisation's risk strategy. xd delegates authority for detailed planning and execution of risk management activities across the organisation.","['activities', 'risk management', 'risk appetite', 'planning execution', 'resources', 'communicates', 'communicating', 'appetite risk', 'governance', 'xd', 'delegate authority']","['activity', 'action', 'appetite risk', 'bodily process', 'governance', 'government', 'pass on', 'organisation', 'natural action', 'risk appetite', 'communicates', 'put across', 'resourcefulness', 'communication', 'brass', 'government activity', 'pass', 'bodily function', 'activities', 'planning execution', 'pass along', 'resources', 'resource', 'administration', 'communicating', 'activeness', 'organization', 'convey', 'governing body', 'body process', 'intercommunicate', 'risk management', 'establishment', 'commune', 'governing', 'transmit', 'imagination', 'natural process', 'communicate', 'xd', 'delegate authority']","['appetite risk governance', 'risk governance xd', 'activities risk management', 'xd delegate', 'execution resources communicates']","['bodily process governance', 'activeness organization convey', 'government activity pass', 'resource administration communicating', 'risk appetite communicates']","['risk management activities across', 'xd provides resources', 'xd delegates authority', 'risk management strategy', 'risk strategy', 'xd defines', 'strategic objectives', 'detailed planning', 'risk appetite', 'risk', 'appetite', 'organisation', 'organisation', 'organisation', 'organisation', 'implement', 'governance', 'execution', 'establishes', 'defining', 'communicating', 'communicates', 'alignment']","['defining and communicating', 'strategic objectives', 'alignment with governance', 'organisation risk strategy', 'risk', 'management', 'defines', 'execution']","['execution', 'appetite', 'defining', 'appetite risk', 'governance', 'organisation', 'risk management strategy', 'xd provides resources', 'risk appetite', 'detailed planning', 'communicates', 'xd delegates authority', 'risk strategy', 'strategic objectives', 'alignment', 'implement', 'activities', 'planning execution', 'resources', 'risk', 'communicating', 'risk management', 'risk management activities across', 'xd defines', 'xd', 'delegate authority', 'establishes']","['execution', 'alignment with governance', 'appetite risk', 'defines', 'governance', 'organisation risk strategy', 'risk appetite', 'communicates', 'strategic objectives', 'activities', 'planning execution', 'resources', 'defining and communicating', 'risk', 'communicating', 'risk management', 'xd', 'management', 'delegate authority']",11,41,5,5,27,19
Artificial intelligence (AI) and data ethics,3,Artificial intelligence (AI) and data ethics 3,"Supports ethical reviews and conducts basic impact assessments under direction. _x000D_
Gathers and analyses information for assessments. Reports on ethical issues and compliance with guidance from others. Documents findings from audits and reviews. _x000D_
Assists with documentation and communication of ethical policies.  _x000D_
Supports others in responding to incidents.",supports ethical reviews conducts basic impact assessments direction _xd_ gathers analyses information assessments reports ethical issues compliance guidance others documents findings audits reviews _xd_ assists documentation communication ethical policies _xd_ supports others responding incidents,supports ethical reviews and conducts basic impact assessments under direction. xd gathers and analyses information for assessments. reports on ethical issues and compliance with guidance from others. documents findings from audits and reviews. xd assists with documentation and communication of ethical policies. xd supports others in responding to incidents.,"['information reports', 'communication', 'xd', 'impact assessment', 'audits']","['scrutinise', 'scrutinize', 'communicating', 'audited account', 'information reports', 'audit', 'communication', 'xd', 'impact assessment', 'inspect', 'audits']","['impact assessment audits', 'reports communication xd', 'information reports', 'communication xd impact', 'xd impact']","['scrutinize communicating audited', 'assessment inspect audits', 'account information reports', 'xd impact assessment', 'scrutinise scrutinize']","['conducts basic impact assessments', 'xd supports others', 'supports ethical reviews', 'xd gathers', 'xd assists', 'ethical policies', 'ethical issues', 'documents findings', 'analyses information', 'assessments', 'reviews', 'others', 'responding', 'reports', 'incidents', 'guidance', 'documentation', 'direction', 'compliance', 'communication', 'audits']","['conducts basic impact', 'direction', 'assessments', 'ethical', 'gathers', 'compliance', 'findings']","['ethical issues', 'reviews', 'direction', 'ethical policies', 'conducts basic impact assessments', 'supports ethical reviews', 'information reports', 'incidents', 'guidance', 'xd assists', 'analyses information', 'impact assessment', 'audits', 'documents findings', 'responding', 'compliance', 'xd supports others', 'documentation', 'assessments', 'communication', 'others', 'xd', 'xd gathers', 'reports']","['direction', 'ethical', 'information reports', 'conducts basic impact', 'impact assessment', 'audits', 'compliance', 'gathers', 'findings', 'assessments', 'communication', 'xd']",5,11,5,5,24,12
Artificial intelligence (AI) and data ethics,4,Artificial intelligence (AI) and data ethics 4,"Engages stakeholders to communicate ethical considerations and influence design decisions. _x000D_
Conducts detailed impact assessments and makes recommendations. Manages ethical reviews to ensure compliance with standards. _x000D_
Evaluates risks and proposes measures to address ethical concerns. Leads discussions with stakeholders on ethical issues. _x000D_
Designs and executes ethical impact assessments. Prepares reports based on audit findings.",engages stakeholders communicate ethical considerations influence design decisions _xd_ conducts detailed impact assessments makes recommendations manages ethical reviews ensure compliance standards _xd_ evaluates risks proposes measures address ethical concerns leads discussions stakeholders ethical issues _xd_ designs executes ethical impact assessments prepares reports based audit findings,engages stakeholders to communicate ethical considerations and influence design decisions. xd conducts detailed impact assessments and makes recommendations. manages ethical reviews to ensure compliance with standards. xd evaluates risks and proposes measures to address ethical concerns. leads discussions with stakeholders on ethical issues. xd designs and executes ethical impact assessments. prepares reports based on audit findings.,"['manages', 'decisions', 'stakeholders communicate', 'audit', 'address ethical concern', 'executes', 'engages stakeholders', 'xd', 'impact assessment']","['do', 'action', 'fulfil', 'pull off', 'care', 'oversee', 'perform', 'engages stakeholders', 'get by', 'decisiveness', 'deal', 'scrutinise', 'wield', 'decisions', 'handle', 'contend', 'decision', 'conclusion', 'carry out', 'inspect', 'carry through', 'manages', 'accomplish', 'grapple', 'wangle', 'supervise', 'stakeholders communicate', 'audit', 'make out', 'make do', 'superintend', 'determination', 'impact assessment', 'scrutinize', 'run', 'finagle', 'carry off', 'execute', 'negociate', 'put to death', 'audited account', 'cope', 'address ethical concern', 'executes', 'bring off', 'xd', 'manage', 'fulfill']","['stakeholders communicate audit', 'engages stakeholders xd', 'ethical concern executes', 'xd impact assessment', 'manages decisions']","['perform engages stakeholders', 'oversee perform', 'fulfil pull care', 'scrutinise wield decisions', 'audited account']","['xd conducts detailed impact assessments', 'executes ethical impact assessments', 'xd evaluates risks', 'prepares reports based', 'manages ethical reviews', 'influence design decisions', 'communicate ethical considerations', 'address ethical concerns', 'xd designs', 'ethical issues', 'proposes measures', 'makes recommendations', 'leads discussions', 'ensure compliance', 'audit findings', 'engages stakeholders', 'stakeholders', 'standards']","['influence design decisions', 'considerations and influence', 'ethical', 'engages', 'stakeholders to communicate', 'impact', 'reviews', 'audit', 'discussions with stakeholders']","['xd evaluates risks', 'influence design decisions', 'ethical issues', 'engages stakeholders', 'manages ethical reviews', 'ensure compliance', 'address ethical concerns', 'leads discussions', 'standards', 'decisions', 'xd conducts detailed impact assessments', 'audit findings', 'executes ethical impact assessments', 'manages', 'stakeholders communicate', 'audit', 'prepares reports based', 'impact assessment', 'stakeholders', 'makes recommendations', 'communicate ethical considerations', 'address ethical concern', 'executes', 'xd', 'xd designs', 'proposes measures']","['influence design decisions', 'manages', 'engages', 'reviews', 'ethical', 'decisions', 'stakeholders to communicate', 'stakeholders communicate', 'audit', 'address ethical concern', 'executes', 'impact', 'engages stakeholders', 'considerations and influence', 'discussions with stakeholders', 'xd', 'impact assessment']",9,48,5,5,26,17
